Alcona County,1791
Alger County,4639
Allegan County,1833
Alpena County,1695
Antrim County,602
Arenac County,681
Baraga County,1069
Barry County,577
Bay County,631
Benzie County,860
Berrien County,1581
Branch County,519
Calhoun County,718
Cass County,508
Charlevoix County,1391
Cheboygan County,885
Chippewa County,2698
Clare County,575
Clinton County,575
Crawford County,563
Delta County,1992
Dickinson County,777
Eaton County,579
Emmet County,882
Genesee County,649
Gladwin County,516
Gogebic County,1476
Grand Traverse County,601
Gratiot County,572
Hillsdale County,607
Houghton County,1502
Huron County,2136
Ingham County,561
Ionia County,580
Iosco County,1891
Iron County,1211
Isabella County,578
Jackson County,724
Kalamazoo County,580
Kalkaska County,571
Kent County,872
Keweenaw County,5966
Lake County,575
Lapeer County,663
Leelanau County,2532
Lenawee County,761
Livingston County,585
Luce County,1912
Mackinac County,2101
Macomb County,570
Manistee County,1281
Marquette County,3425
Mason County,1242
Mecosta County,571
Menominee County,1338
Midland County,528
Missaukee County,574
Monroe County,680
Montcalm County,721
Montmorency County,562
Muskegon County,1459
Newaygo County,861
Oakland County,908
Oceana County,1307
Ogemaw County,575
Ontonagon County,3741
Osceola County,573
Oscoda County,572
Otsego County,526
Ottawa County,1632
Presque Isle County,2573
Roscommon County,580
Saginaw County,816
St. Clair County,837
St. Joseph County,521
Sanilac County,1590
Schoolcraft County,1884
Shiawassee County,541
Tuscola County,914
Van Buren County,1090
Washtenaw County,723
Wayne County,672
Wexford County,576